text,predicted_emotion,emotion
i did not know this i could not look out upon the sea and sky without feeling mildly discontent,sadness,sadness
i hate feeling like this this is bullshit ok i m so done bye,anger,joy
i tasted some hari raya cookies and feeling greedy i would go and prebook their kueh makmur and tart because i know their hygiene standard and ingredients,anger,anger
i sit here feeling drained i really wonder what will i do when i reach that point,sadness,sadness
i buy something i go out and look at what else i didnt buy and then after a bit of comparison here and there i suddenly feel dissatisfied with my purchase,anger,anger
ive been feeling incredibly inadequate more so than usual and its gotten to a point where i almost feel paralyzed by it,sadness,sadness
im amazed how many men say they feel unloved if the house is messy and they have to fix their own dinner,sadness,sadness
i feel a restless weekend heading our way,fear,fear
i feel ugly i cover myself with a beautiful blanket in a make believe gown,sadness,sadness
i always said i felt so blessed to have him and today that feeling is been reassured many times,joy,joy
i cant do strappy shoes at work i just feel weird so i took these off thrifted ninewest,fear,fear
i love the fact that i look as best i can and i feel terrific because i eat right and constantly exercise,joy,joy
i decent article which i knew likely had good information because my initial response was to feel offended and want to argue despite the fact that it was talking about not doing exactly that,anger,anger
i have moments where i just feel so overwhelmed that my eyes well up with tears,fear,fear
i started feeling thankful for food for being able to enjoy such delicious things and got into cooking and baking healthy meals for my family,joy,joy
i don t want to tag people who think this is silly but if there are people out there who want to be tagged i wouldn t want to make them feel unwelcome,anger,sadness
im taking is allowing me to get sleep which is wonderful but its leaving me feeling very groggy and nauseated,sadness,sadness
i feel an unpleasant drop in my stomach as the elevator doors open at my floor,fear,sadness
i feel that this is a highly talented bunch when roling on all cyclinders,fear,joy
i feel his hand on me to stay faithful,love,love
i was so focused on my heavy breathing my even strides the drops of sweat on my forehead that i forgot to feel socially awkward,sadness,sadness
i cant help feeling this way,sadness,sadness
i feel like i would order carryout from if i lived in the area i am still curious to try some of their other tacos,love,surprise
i feel that i am afraid of whatever ad anything that will happen and idc is it good or bad i am just afraid and i hope god you will help me in whatever i do,fear,fear
i entered the living room i had a horrible feeling aching in the depths of my stomach,sadness,sadness
i feel very glad that finland s well known visual artist vesa kivinen had called me to work with him,joy,joy
i feel relatively safe normal or whatever you might call it,joy,joy
i feel bitchy saying it but i think that next saturday i just want to be alone,anger,anger
i feel very honored to have been shortlisted within the patient ambassador volunteer category which recognises members of the public and staff who provide outstanding help and support through volunteering or providing patient opinions either on a public partnership forum or on a patients panel,love,joy
i feel quite helpless in all of this so prayer is the most effective tool i have because i have no answers and there is nothing else i can offer them right now,fear,sadness
i know that you feel pretty disgusted by the nonstop lefty propaganda the ministry churns out but of the public isn t that tuned in,anger,anger
i feel complacent and satisfied,joy,joy
i ventured into fabrics amp fabrics on a whim yesterday feeling a bit nervous knowing i would be tempted beyond my comfor,fear,fear
i havent been feeling homesick knowing they were all getting together to enjoy my mums cooking did make me want a teleporter,sadness,sadness
i feel ugly and hated,sadness,sadness
i was feeling whether it be mad sad disappointed or peaceful,anger,anger
i feel as if we have a talented enough team to win some games and go deep into the tournament,joy,joy
i feel i was so innocent to have only one dream to fill my brain and to be crazy about it,joy,joy
i never feel depressed because my cancer and i have learnt to live and sleep with each other,anger,sadness
i can feel the pressure falling more so on my shoulders and im feeling slightly doubtful of myself which leads to unhappy thoughts not usually like my optimistic self i must say,fear,fear
i kind of feel a little petty about this,anger,anger
i hostage negotiator on her case has her feeling hopeful about her future,love,joy
i believe that people should choose the causes they feel passionate about and do what they can and i have no right or desire to push my own charities as more worthy than another,love,joy
i feel privileged to be allowed into the sanctum of her studio the many different paintings and studies lining the walls morph and grow week on week,love,joy
i grew up feeling rejected by my male peers,sadness,sadness
i feel like that is where i can make my most valued input and tried to do as much as possible to ensure i did an equal part in the construction,joy,joy
i described how i was feeling the feeling of being out of control and completely restless the fear of what could still happen my obsession with trying to do it all and the fact that it was just not working,fear,fear
i feel very important in my fancy room with my fancy furniture and nice view of downtown dallas,love,joy
i wanna feel good again,joy,joy
i never feel like im not supporting,love,joy
i want you to snap out of it and simply feel simply live laugh enjoy this life no matter how idiotic it is,anger,sadness
i assumed it would feel casual,joy,joy
i will admit and it left me feeling shaken and a bit of a goose,fear,fear
i feel it is dangerous especially for the new believer who is not grounded in the word of god,anger,anger
when we rearranged furniture in our flat and got stuck in a chair,surprise,anger
i am feeling stressed and more than a bit anxious,fear,anger
i persevered through the storm of rejections feeling confident that i was doing what god had called me to do,fear,joy
i was feeling comfortable in the first fight i saw things that were working for me but i m expecting a better rendall munroe because i think he might have underestimated me first time around,anger,joy
im not quite sure how she really feels about it because im pretty sure that she realizes that she is going to miss getting to watch the parade which is something she really enjoys,anger,joy
i feel somewhat fake in the group,sadness,sadness
i was feeling particularly pissed off and wanted to go to a party,anger,anger
i feel like im still quite bad at describing my feelings with good words and beautiful phrases,sadness,sadness
i feel so heartbroken over paul walker s tragic disappearance the life of someone so generous beautiful and talented should not end this way as other horrible individuals keep on living torturing assaulting and killing people,sadness,sadness
i feel perfectly mellow,joy,joy
i feel i have to give credit to jen mitchell for her gorgeous card a href http www,love,joy
i am alternating between feeling thrilled to see my dads family this weekend and terrified that i will be a black sheep among their normalcy,fear,joy
i feel for my sweet boy,love,love
i feel about as helpless and superfluous as i did when jenn had elaine naturally,fear,fear
i thought i didnt feel anything anymore it was over it was ok well today a different story i feel him i want him my heart hurts thinking he wont be around i still want him around i guess its still valid,anger,joy
im feeling better so hopefully things start falling back into the old routine,fear,joy
i hope you feel incredibly cool now,joy,joy
i watched the news at the tv,sadness,anger
i didn t really go looking for it but i can definately see where the enjorlas marius ship comes from though sadly i feel it s mostly one sided and that marius is nothing more than a rich schoolboy following his whims without thoughts to the concequences,fear,joy
i feel i should as a gracious gesture apologizing for my latest post about the osp and the rand license terms,love,love
i get people asking me what it feels like to be the most hated man in dallas county said assessor steve helm,anger,sadness
i have reported feeling marginalized intimidated and or subjected to threats of retaliation,fear,fear
im not sure if im more at peace with our situation or if im just not feeling as bitter about it but in the past five months something has changed within me,anger,anger
i am feeling profoundly peaceful,joy,joy
i feel bad then for not accepting who i am,sadness,sadness
i have tried sorting out the area for the cat houses this lunchtime but i guess after the printer ordeal i am feeling quite uptight so it has been put on hold,fear,fear
i made that make me feel dumb and dumber,sadness,sadness
i have power feeling to justify their laziness and being bitchy against skinny girls,anger,anger
i feel like my sweet company is finally coming together,love,love
im making some more mood icons right now to let you see how i feel and think and of course its all charming,joy,joy
i feel like i am not accepted here i and bucking this force that is coming from all quarters that tells me that something is wrong with me if i am not married with children,anger,joy
i apologise if the pictures are not very good quality but if youre stuck for ideas feel free to check out the websites in the captions,anger,joy
i feel fine now even though ive just burned the dinner oops,anger,joy
i feel for this divine landmass and all the respect i bear in my heart for the greatness residing on it,joy,joy
i feel like but im not very fond of that word,love,love
i feel vulnerable not knowing what is to come and i feel like the rest of my life depends on today,fear,fear
i feel so damn agitated,anger,anger
i feel confident around him and i am always there if he needs help,fear,joy
i feel annoyingly isolated in the hostel with all those people talking outside the room etc,sadness,sadness
i feel like alcoholism is something that is widely accepted as the norm in gay culture,love,joy
im just now realizing i didnt have a diet coke today and that makes me feel proud regardless of the other junk i consumed today,anger,joy
i also feel i have accepted my dark side and am finally realizing what of my dark side is healthy,love,joy
i have spoken about before but the feeling is getting stronger and i am curious if others have similar thoughts,anger,surprise
i feel a bit dull by it all,sadness,sadness
i hope it is because he understands the way i feel i hope he sees what he could miss and is putting the petty negative thoughts aside,anger,anger
i feel so blessed to be able to share it with you all,love,joy
i feel a little virtuous doing these things but on the other hand nini s tasted better,joy,joy
i say i want to be more of people person but i feel very mellow right now,joy,joy
i pull out one of my favorite books to make myself feel miserable,sadness,sadness
i feel convinced that im going to shy away from whatever is really good for me,fear,joy
i feel kind of awkward about doing this here goes,sadness,sadness
i feel like i should not be surprised at this development,surprise,surprise
i am of snuffling and feeling dull,sadness,sadness
i need to feel creative and productive,joy,joy
i am who god has chosen to help my daughter become the woman god intended her to be even if i don t feel perfect,love,joy
i am not feeling too bad except that my ribs are aching and i have a pulled muscle in my shoulder blade region from all my excruciating hours of hacking my lungs out last night,love,sadness
i am at the point of feeling resentful toward him and i don t want to be,anger,anger
i write this i feel oddly calm like wanting to just relax in a big chair or lay out in the sun,joy,joy
i feel really inspired,joy,joy
i do know that i tell some people if i feel that their question is sincere some of my sacred treasures,love,joy
i can sit here and cry and feel wronged but it wont change the outcome,anger,anger
i was worried that maybe she was sleeping so well because she wasn t getting enough milk and was feeling lethargic,sadness,sadness
i am going to actively learn more about these genres and or practice them so i can feel what i should feel as a dancer gt fearless courageous confident phew,fear,joy
i started feeling a little stressed about leaving on time and making sure we got the getting ready pictures i wanted but everything seemed to workout perfectly,anger,anger
i feel like an ugly monster where i cannot show who i really am lest i seem weird or just plainly an outcast,fear,sadness
i feel a little guilty that we have this exceptional little girl from ethiopia home and in our arms but this blog continues to surround goosey,fear,sadness
i feel the need to layer on fake tan for a night out to give me a bit of colour my clothes do it for me,love,sadness
i feel a real emotional connection to the ice queen from the north now that you have revealed that inhumanity runs in her bloody family,love,sadness
i have been designing earrings for some of my customers bridesmaids which i feel honoured to do,joy,joy
i could adopt and what messages i could think about to help make me feel more peaceful more grateful and just happier right now,fear,joy
i feel quite worthless but i hear that that is pretty normal for north americans at this point,sadness,sadness
i don t feel well enough to cook,joy,joy
i feel so bad about it and hes stood there bewildered,anger,sadness
i could feel hundreds of loving people all around the world connecting with earth it was simply beautiful,love,love
i feel not having a generous spirit or a forgiving nature closes me off from accepting gifts from the universe,love,love
i feel accepted and loved by a community of derby girls that i helped to create,love,joy
i feel utterly disgusted with myself right now and am contemplating death every waking moment ever since she uttered those few words,anger,anger
i often feel confused as to whether i have bipolar or just a really hard core sinful nature,fear,fear
i am feeling very thankful,joy,joy
i feel privileged to have played against him,joy,joy
i read it at a time amp place where i was feeling less than perfect,fear,joy
im happy but i feel all this pressure to do one thing or another amp it makes me unhappy,sadness,sadness
i feel it is worthwhile to give you all a more in depth city sized if you will look at one of our cycle days,love,joy
i was still feeling so exhausted from my workouts on monday and tuesday that all i did was go for a walk at the park for about,sadness,sadness
i grabbed my dog and hugged her fiercly for the next hour or so until i began to feel a bit like myself again but i havent completly shaken the feeling and have been feeling rather depressed anxious all day,fear,fear
i found myself feeling inhibited and shushing her quite a lot,fear,sadness
i admit that i am jet lagged so during the daylight i feel groggy almost hung over while at night when everyone is tucked in and snoozing a light pops in my brain and i transform into the ever ready bunny,anger,sadness
i often throw myself into work when i m not with them that same maxim from last week if i feel discouraged the way i move forwards is to offer encouragement to others,fear,sadness
i feel a lot better about the way i wrote this bit of the code,fear,joy
i was supposed to feel sympathy for emma im afraid i failed,fear,fear
i feel inside this life is like a game sometimes then you came around me the walls just dissapeared nothing to surround me keep me from my fears im unprotected see how ive opened up youve made me trust coz ive never felt like this before im naked around you does it show,fear,sadness
i have no energy to get angry or upset anymore i just feel a little resigned,anger,sadness
i cant tell you how many times in the four months we have been seeing each other seriously that we have had to have serious emotional talks because one or both of us was feeling tender,love,love
i am feeling so emotional about your brothers arrival,sadness,sadness
im even feeling liked by the girls who hate pretty much everyone,anger,love
i go through my day feeling your movements and am amazed that something so miraculous is happening in my body its like a special secret only you and i have,love,surprise
i feel is valuable and i want to share,joy,joy
i feel so unloved without you next to me but when im with you,sadness,sadness
i feel myself falling into the pit of buying it from her i think he s for real i m just skeptical of the women,fear,fear
i was learning to just deal with the nausea amp manage the unpleasantness of it at work trying to keep anyone from knowing but my sister told me there was no need to suffer amp feel miserable amp to call my dr for some zofran,sadness,sadness
im feeling greedy for right now,anger,anger
i justified in feeling slighted or am i just being ungrateful,sadness,sadness
i feel like it s waiting in the wings just patiently waiting for me to be distracted enough so it can take me down and take everything i love in this world away and destroy me,anger,anger
i feel like i fucked up big time but i have to protect a and myself,anger,anger
i feel like my mind is blank and empty,sadness,sadness
i don t feel comfortable playing games with them presenting the bad guy as really a misunderstood good guy or vice versa,anger,joy
i listen to the advice of my eating disorder will i actually feel better,fear,joy
i bought the gb iphone i got a apple store credit i feel like they were sympathetic to early buyers and responded appropriately,love,love
im feeling a lot more optimistic about my future,joy,joy
i feel pissed off and angry,anger,anger
i couldnt help feeling for him and this awful predicament he lives with on a daily and nightly basis and i was just so glad that once bel started to see the light he stuck it out and stood by daniel whilst no one else did including his family who im afraid i got really disgusted with,anger,sadness
im feeling so completely mellow and perfect tonight,joy,joy
i feel curious because i would like to explore what is at the top of the helterskelter like plant,love,surprise
ive learned that there are angels on earth who feel me as i feel them who stand by with a loving thought a healing heart or a steady hand just as i would also offer without a moments hesitation in return always,fear,love
i feel that the packaging is really lovely and the product itself just does everything you ask,love,love
i feel ive ignored it too long this year,sadness,sadness
i know different because i feel in your hugs and kisses that im perfect just the way i am,love,joy
i am feeling a little more relaxed i am certainly not feeling refreshed thanks to drunk dudes who decided letting off fireworks every half an hour all night would be super fun and the fact that it s impossible to sleep in the freezing cold with a complaining toddler but i have certainly rebooted,anger,joy
i definitely feel there s some useful information here for anyone facing similar questions to those i had during this time of my life,anger,joy
i too feel a sense of melancholy for them,sadness,sadness
im sad if some people are unhappy about the flag for religious reasons but i know many religious people who do not feel it goes against their faith and they are very supportive,anger,love
i don t feel brave though,joy,joy
i walked near the hotel and i felt very obvious and uneasy all the warnings about petty crime i read in the guidebook and maybe some residual from years ago left me feeling threatened,fear,fear
i feel like i m finally losing that stubborn little bit of extra stuff in my lower belly,anger,anger
i am feeling overwhelmed by trying to do it all that i think on the women before me,fear,surprise
i remember feeling so frightened that i could feel emotions at that high a level,fear,fear
i feel inside coz i m so fucking horny,love,love
i have tested positive but i have never taken drugs and i feel innocent says martina,joy,joy
im so proud of you no words can describe the way that makes my heart feel thank you god for my supportive amazing hubbard,love,love
i have made about sex i feel that women enjoy sex when their body and emotions are admired and respected,love,love
i feel no need to work up acceptable conversation fodder,joy,joy
i had just hiked up and down a long steep hillside loaded with grass and bushes so i was feeling pretty doubtful id be able to find it,fear,fear
i really like the color scheme since it makes me feel peaceful clean and simple,love,joy
i feels so lame,sadness,sadness
i personally feel that it is a very creative present and everything packed inside a brown paper bag,anger,joy
i feel so fearless in these post grieving days,joy,joy
i feel so blessed to be married to him because he loves his stepchildren,love,joy
i dropped martin back off i was the dd i pulled in and because i was feeling exceptionally outgoing waved and talked to some of my neighbors downstairs,fear,joy
i feel more faithful than ever,joy,joy
i am feeling relieved to feel myself again,joy,joy
i sometimes feel a bit unwelcome,sadness,sadness
i feel complacent at the moment,joy,joy
i feel most passionate about that arouse my emotions seem to be the things i need to learn something about my emotion tells me there is a need to grow in some direction,love,love
i feel that it only makes you a person that i love who happened to do something that i don t find acceptable,love,joy
i have not only not lost any yarn overs but am now done with my first lace project and feeling pretty pleased,sadness,joy
i want you to know that if i become prime minister in less than a year s time i will be proud to do so as a friend of israel a jew and most of all someone who feels so proud to be part of the community gathered here today,anger,joy
i feel somewhat safe to give hosting a try,joy,joy
i don t follow too many people and i don t have too many followers however i have a feeling that the people that i am talking about may know who they are i m not trying to be rude i m just being real,anger,anger
i never feel lonely as long as people love and support my work,love,sadness
i have so much going on in my life and am constantly running like crazy i can always steal a quiet moment to acknowledge this child and the overwhelming excitement and anticipation that i feel god is truly faithful and brings everything around,love,love
i suspect his reasoning may simply be to lull apple into feeling complacent,anger,joy
i feel so exhausted by a,sadness,sadness
i prepare i feel thankful that these events touch upon so many different concerns in my poetry from language issues to pacific aesthetics from the avant garde to eco poetry,love,joy
i met my present boyfriend on a boat trip to england we had said that we would call each other when we got back to sweden we were not going to the same town in england as soon as i walked in he called from england as he could not wait till he came home,love,joy
i feel inspired so many thing i want to write down,joy,joy
im very hurt and i feel unimportant,sadness,sadness
i feel like uninstalling skype deactivateing all of my facebook amp hatena accounts since im becoming a hateful person amp i dont want to get any worse than i am right now,anger,anger
i began to feel shaky and nauseous and yearned for my connection to cairns to make up for some of the deprivation,fear,fear
i was feeling adventurous though so i went with some asian flavors of ginger and sesame oil for my salad,love,joy
i was playing a sport in an advanced pe class and many of the people were not advanced,anger,anger
i cause extreme worry and distress ground to remember fondly you forever mary prepares to feel unfortunate time eventuallythe intense emotion have sexual lovein condescend to come she by hand puts out strength wu mouth dont let oneself cry out,fear,sadness
i feel so greedy of holidays and forgetting my responsibilities,anger,anger
i mean i feel like a broke record sometimes,sadness,sadness
i am feeling rather heartless because i recently heard the words unconditional love and could not find it in myself,anger,anger
i feel dissatisfied and more accustomed to healing,anger,anger
im feeling doubtful about all of the patterns and colors working together but we cant be sure until everything comes together,fear,fear
i want to get back in the habit of blogging about all the cool fun things im up to but am also trying to get out of this rut of only writing about feeling shitty,fear,sadness
i am still healing from having my heart broken still healing from broken dreams still doubting myself still feeling confused,fear,fear
i gents been feeling lousy over the last few weeks which ended up with a trip to the hospital last saturday which put a damper on the wedding anniversary,love,sadness
i read about him and learn about him in his interviews the more i feel like i could never deserve someone so kind and compassionate,love,love
i feel thats just strange on wotcs behalf,fear,surprise
i take a walk in the park feeling joyful,joy,joy
i feel calm silent and protected by the definiteness of this existence,anger,joy
i want to feel assured that my life will be good and i know it will be when i trust the lord,joy,joy
i feel safe with berry,joy,joy
im feeling envious already,anger,anger
i suck up is the boring dull town and the feeling being missed by my family and bf,sadness,sadness
i feel like i have all these cute things but i dont feel comfortable in them and dont know how to put them together,joy,joy
i feel like an emotional cutter,sadness,sadness
i wake up in morning and when i go to sleep at evening i feel that seed voice in my heart that is screaming out from my empty stitched heart,sadness,sadness
i received the blanket i was absolutely amazed on how fluffy it is and extremely soft i really didnt think it was going to feel that amazing,surprise,surprise
i feel that sometimes im not talented enough,joy,joy
i feel it would be foolish and perhaps a little disrespectful to consider doing the long hilly race,sadness,sadness
i mention my oldest child before my youngest will her feelings be hurt,anger,sadness
i woke up today feeling kind of strange,fear,fear
im sick of feeling unimportant like nobody needs me,sadness,sadness
i am feeling quite distressed and dejected over my battle with insomnia,fear,fear
i feel hated in cempaka,sadness,sadness
i do feel numb but only because i have so many fucking feels that i ve shorted out from feeling them,sadness,sadness
i often use disney to cheer me up when im feeling low and these past couple days have been no exception,sadness,sadness
ive been feeling a little defeated maybe even over looked,sadness,sadness
i feel shy because of what i am wearing,fear,fear
i can say is that as long as you enjoy the story it entertains you and makes you feel emotional whether it be sad happy angry disgusted or just plain horny then who really gives a damn,anger,sadness
i wept while jackson slept feeling overwhelmed by the feeling that i don t want to die,fear,fear
i feel confident to be me again in personal life and right when my work life was going well with my boss slowly understanding why i continually ask for and demand we address the tough issues that cause problems with our various departments,anger,joy
i dont know whether his presence is the reason why i feel more homesick for the uk than the us or just by being here makes me miss my former home,sadness,sadness
i mentioned in my last blog that i have started to get the feeling that i have been pressured into studying things i do not like which has also made me into a person i might not fully be,fear,fear
i only do unwillingly and always leaves me feeling grouchy and unsettled,anger,anger
i have to give it to men as women we complain a lot about the heals we have to wear but at least we can wear a dress and feel cool in the summer,love,joy
i feel like i should be listening to chinesepod and working on my mandarin but what i really want to listen to is the savage love podcast or car talk,anger,anger
i feel assured that the guns are locked away in the gun safe making it impossible for any of the children to access them,fear,joy
i also feel this conversation could dovetail quite easily into another about images and objects that are ugly to serve the purpose of being ironic,fear,sadness
i dont want to make this blog something that i just whine on all the time but i feel like ive been beaten with a two by four or something,sadness,sadness
i feel bad for them for wasting their time and effort for nothing,sadness,sadness
i feel overwhelmed how about you,fear,surprise
i kept trying to make her feel better,anger,joy
i get making employees feel valued i really do but in this economy where another k jobs were dumped last week alone i suspect the majority of people are thinking like rudy and i thank god we still have a job,love,joy
i feel lucky that theyve chosen to share their lives with me,love,joy
i feel embarrassed enough,sadness,sadness
im not feeling sorry for myself though because i just think of those poor people whom have lost their lives or everything they have due to sandy,anger,sadness
told by some people the class leader only choose his friends not true,anger,anger
i stop feeling guilty,sadness,sadness
i know some people are more fond of the treat of going and getting a pedicure because you can just sit there and enjoy the wonderful feeling of someone else massaging your tender tootsies all the while flipping the pages of a book or magazine,love,love
i first read this book during college and it has helped me cope with the feeling of helplessness and fear of the uncertain future,fear,fear
i get to be creative if i feel like it or just sit and chat to customers the people are all lovely even kermit helps out see,anger,love
i get the feeling donald is smart enough to educate himself through his own densely focused meanderings and their inherent shortcomings,love,joy
i was feeling frantic,fear,fear
i feel that it is extremely dangerous for her to be wandering out to sea,anger,anger
i am so grateful to have been filled up by general conference and to feel the joyful power of the spirit after such a wonderful weekend,joy,joy
i think your viewers tonight will enjoy the show coming from malm they will like some things be less fond of other things but hopefully they will feel entertained and smitten and feel the urge to cast a vote regardless if your country is voting tonight or not,love,joy
i ever want to feel that vulnerable,fear,fear
i bought this doraemon backpack from a charity store i had every intention of putting it in my etsy store but i feel like its too cute to sell,love,joy
im looking upon the next year as an adventure which very likely will make me curse mathematics and other subjects to hell but eventually make me feel relieved,love,joy
i can put on it without words since i just cant type on that it was so lovely this morning yes im feeling sarcastic today,anger,anger
i feel kind of unwelcome in many catholic communities but i hope that isnt the case here,sadness,sadness
i lift different now because it hurt so bad the day it happened that i can t get it out of my mind and i feel myself being a bit timid,fear,fear
i was feeling rather homesick today so i decided to make a list of typical city sight that might come in use should you decide to visit switzerlands largest city,sadness,sadness
im sure ill feel more playful soon but i just cant right now,joy,joy
i couldnt feel more blessed at this time,joy,joy
i feel like rich purple and gold are a match made in heaven and this reinforces that belief,love,joy
i sit in the same hostel i did nearly two months ago this time wearing a jacket and feeling as if my toes might be a little numb from the cold,fear,sadness
i feel lost without you,sadness,sadness
i feel smart when i figure things out myself,joy,joy
i now im graduating in two days but i feel so sad right now,sadness,sadness
i feel very naughty to step outside my species but you are compellingly different,love,love
i want to feel less stressed,sadness,sadness
i still feel nervous,fear,fear
i am put in mind of an odd feeling of vicious cruel natural order here it seems no one is able to escape the town the cycles of predator and victim catching up with anyone trying to elevate themselves out of the mire,anger,anger
i feel more violent than ever right now,anger,anger
i feel ecstatic and privileged,joy,joy
i feel he will be perfect for this event,joy,joy
i came away from that expereince feeling like i had had an encounter with the divine,joy,joy
i feel slightly saddened to know that some of the kids have also resigned during my absence,sadness,sadness
i sit here in the snowy ohio countryside on christmas eve feeling like i m in a postcard i m thrilled to announce that i found it,fear,joy
im not feeling very hopeful about the coming summer,joy,joy
i feel a bit like a naughty kid who went and spent their last pence on a bag full of e numbers guilty,love,love
i tune out the rest of the world and focus on the rhythm of the needles and the softness of the yarn and for that time i feel my most peaceful,love,joy
i say i feel alone br style color line height,sadness,sadness
i was feeling heartbroken and lonely i watched my second younger sibling get married leaving me the lone single adult in our family,sadness,sadness
i lost a few pounds but i also started to feel really awful,sadness,sadness
i enjoy about his work is the genuine feel and the pleasant message he is trying to deliver with all this,joy,joy
i knew except they ve lost that girly feeling and gained a graceful wisdom,anger,joy
i am feeling a bit ungrateful and choose to correct that,sadness,sadness
i notice how different this question is from why i am feeling so agitated,fear,fear
i feel like such a noob when the customers make really dull and stupid jokes that im supposed to find funny,sadness,sadness
getting sent on a company expense trip to another state to work for a week at that plan,fear,joy
i feel insulted by how those heroes of cosplay goons said they don t care if you re if,anger,anger
i eat a good breakfast i feel more energetic throughout the whole day and don t feel that o clock slump,anger,joy
i feel very strongly about supporting charities that help children,love,joy
i have ever seen in my life was laceys constant disapprovements of rikkis extreme happiness when she just wasnt feeling quite as carefree as he was,anger,joy
i started thinking about which spaces made me feel most creative and what characteristics they had,fear,joy
i usually ignore page invites that are irrelevant to me or facebook game invites because its impersonal and it feels insincere,anger,anger
i am feeling playful this morning,joy,joy
i feel like im a pathetic little desperation,sadness,sadness
i feel totally completely accepted and loved while my heavenly abba was pointing out sin in my life,love,love
i feel fond of him though because he feels like an amalgamation of many people i already know,love,love
i feel like most teams would have appeased jackson at this point but the eagles are terribly stubborn,anger,anger
i feel like damaged goods no one will want me now,sadness,sadness
i think i love her enough now to feel pretty insulted and rawr about it,anger,anger
i can t help feeling lucky little do i know,joy,joy
i also feel the need to say thank you to the boy who helped me realize the above for showing me an absolutely splendid and hot night,love,joy
i can never tell him how i feel and it really sucks because i think he gets really bothered by that,anger,anger
ive also had a nosy on the website and seeing as its coming up to that time of year and im feeling strangely festive for once ive picked my top five products from the a href http www,love,joy
i suppose its only natural that id start to feel a little homesick for new england at this time of year,sadness,sadness
i really feel like we were successful in identifying some pretty scary early warning signs and sticking our foot in the door before it shut,anger,joy
i cant help but think if id just shut up if id just not made a big deal of what was essentially two adults meeting at the same table for a hot beverage then perhaps i wouldnt have spent the bulk of the weekend feeling like a stupid shit,anger,sadness
i have been feeling really stressed out due to homework and my studies that have increased rapidly over the last week,anger,sadness
im begging fate not to mess with the next cycle to let it look as pretty as this one so i can at least go in feeling reassured,anger,joy
i input class size medium wp image height src http techfeel in wp content uploads google hindi input x,surprise,joy
ive got to learn to be mindful of how i feel all the time not just if im suspicious of a feeling,fear,fear
i am feeling much more relaxed,joy,joy
i feel it is acceptable to make requests using this name,love,joy
i have a feeling there are a lot of pissed off people in sea org in hollywood where scientology has become the monster that devoured wa wonderfully sleazy bohemian area,love,anger
i feel pained by this,sadness,sadness
i am reading about s sewing circles and i feel completely happy if you cant spit in the face of imperialism at least be a lesbian,anger,joy
i am feeling pretty fearless,joy,joy
i feel bouncy and twitchy all of a sudden,love,joy
i feel like it s more of a mellow restive dream maker,joy,joy
i did not feel any passionate joy,joy,joy
i have nostalgic feelings i have met wonderful people online and the online internet is for me like my second life,love,joy
i feel rejected for trying to find my path to a stronger relationship and bond with god,love,sadness
i dont know how to deal with this i feel like its becoming apart if who i am im afraid that im going to associate it with regular things so that i will never forget it,fear,fear
i think it s to do with the fact that i know i don t have a lot of time to play catch up and also because my free time for the first time in what feels like forever is really my free time,anger,joy
i feel extremely privileged to live in a country where a vote is legitimate and matters,love,joy
i feel a strange gratitude for the hated israeli occupation of sinai that lasted from to for actually recognizing the importance of sinais history,surprise,surprise
im much more peaceful and happy when the house is clean the food is good and my kids arent feeling needy,love,sadness
i felt that my birthday was my one day to feel special and i could do whatever i wanted,anger,joy
i feel depressed again,sadness,sadness
i got up saturday morning feeling like crud but determined not to let it get the best of me,anger,joy
i feel that he is so determined to steal private industries away from citizens of this nation that he has given no time to fighting the real enemies of theu,love,joy
i would say no not yet and i would feel superior and in fact self righteous even if i would not admit it back then because i remember looking at the point so i can see that the point did come up but i could did not face it to protect my ego,anger,joy
i feel very tender for anyone who is upset by the bee movie sort of like how you feel about old aunts who dont realize how prickly their whiskers are getting slightly repulsed but very sad for their decline,love,love
i sat up to embrace them and realised that two hours spent shaking my thang in an eighties bar celebrating the fact i am one year closer to death had left my ageing body feeling punished and my normally pink feet blackened,sadness,sadness
i feel so humiliated by my own self,sadness,sadness
i feel it is a worthwhile item to me or within my company s mission,joy,joy
i feel the earth move tribute to carole king karaoke mix details rel nofollow target blank see more details compare prices img src http www,sadness,sadness
im the only one with all the feelings and emotions and thats just pathetic of me to do so,sadness,sadness
i can t say for certain why but it actually makes me feel amused and you can be sure it s not just me because other people from our offices told me they have the same a href http news,anger,joy
i feel defeated but its okay hahaha my mid term holiday was good,sadness,sadness
i decided to lay down in my bed but then i started to feel really violent like i wanted to punch and kick things except i didnt wnat to hurt anything,anger,anger
i want to say i feel numb but if i was numb i wouldnt have this pain and i probably wouldnt be able to cry so much,sadness,sadness
i go again sometime in the future id probably just stick with the african tram which comes with entry fee maybe id spring for the asian tram and if i was feeling particularly brave i might even try the hot air balloon which i thought was reasonable priced at,love,joy
i always feel very shocked by that me threatening,fear,surprise
i was supposed to be alright with not even feeling comfortable in my own home not being able to cook meals without a year old helping me ok with the mounting pile of water and utility bills,love,joy
i am not proud to be british i am not glad to be young and i most certainly do not feel blessed by opportunity,joy,joy
whenever i put myself in others shoes and try to make the person happy,joy,anger
i feel absolutely devastated that gaia is being pushed to her limit in spite of the great strides we seem to be making with all the media attention lately,love,sadness
i feel around someone the more idiotic i feel hence the unintelligible blabbering,sadness,sadness
i was feeling content and oh so happy with my life,joy,joy
